textBox36,textBox33,textBox35,textBox34,textBox30,textBox29,textBox32,textBox31,textBox37
30 Apr 2026,GJ-1398837,INV-001132943,TOTAL,"85.000,00","85.000,00","500,00","0,00",4-4002 - Diskon Lainnya
30 Apr 2026,GJ-1398837,INV-001132943,TOTAL,"85.000,00","85.000,00","7.600,00","0,00",8-8035 - Biaya Layanan
30 Apr 2026,GJ-1398837,INV-001132943,TOTAL,"85.000,00","85.000,00","1.250,00","0,00",6-6598 - Biaya Proses Pesanan
30 Apr 2026,GJ-1400103,INV-001133949,TOTAL,"101.290,47","101.290,47","21.290,47","0,00",5-5000 - Harga Pokok Penjualan (COGS)
30 Apr 2026,GJ-1400103,INV-001133949,TOTAL,"101.290,47","101.290,47","0,00","21.290,47",1-1200 - Persediaan Barang
30 Apr 2026,GJ-1400103,INV-001133949,TOTAL,"101.290,47","101.290,47","0,00","80.000,00",4-4000 - Penjualan
30 Apr 2026,GJ-1400103,INV-001133949,TOTAL,"101.290,47","101.290,47","43.689,00","0,00",1-1100 - Piutang Usaha
30 Apr 2026,GJ-1400103,INV-001133949,TOTAL,"101.290,47","101.290,47","26.001,00","0,00",4-4001 - Diskon Penjualan
30 Apr 2026,GJ-1400103,INV-001133949,TOTAL,"101.290,47","101.290,47","500,00","0,00",4-4002 - Diskon Lainnya
30 Apr 2026,GJ-1400103,INV-001133949,TOTAL,"101.290,47","101.290,47","8.560,00","0,00",8-8035 - Biaya Layanan
30 Apr 2026,GJ-1400103,INV-001133949,TOTAL,"101.290,47","101.290,47","1.250,00","0,00",6-6598 - Biaya Proses Pesanan
30 Apr 2026,GJ-1398796,INV-001132902,TOTAL,"97.408,29","97.408,29","35.409,29","0,00",5-5000 - Harga Pokok Penjualan (COGS)
30 Apr 2026,GJ-1398796,INV-001132902,TOTAL,"97.408,29","97.408,29","0,00","35.409,29",1-1200 - Persediaan Barang
30 Apr 2026,GJ-1398796,INV-001132902,TOTAL,"97.408,29","97.408,29","0,00","61.999,00",4-4000 - Penjualan
30 Apr 2026,GJ-1398796,INV-001132902,TOTAL,"97.408,29","97.408,29","61.399,00","0,00",1-1100 - Piutang Usaha
30 Apr 2026,GJ-1398796,INV-001132902,TOTAL,"97.408,29","97.408,29","600,00","0,00",4-4001 - Diskon Penjualan
30 Apr 2026,GJ-1400100,INV-001133947,TOTAL,"139.596,67","139.596,67","39.596,67","0,00",5-5000 - Harga Pokok Penjualan (COGS)
30 Apr 2026,GJ-1400100,INV-001133947,TOTAL,"139.596,67","139.596,67","0,00","39.596,67",1-1200 - Persediaan Barang
30 Apr 2026,GJ-1400100,INV-001133947,TOTAL,"139.596,67","139.596,67","0,00","100.000,00",4-4000 - Penjualan
30 Apr 2026,GJ-1400100,INV-001133947,TOTAL,"139.596,67","139.596,67","63.524,00","0,00",1-1100 - Piutang Usaha
30 Apr 2026,GJ-1400100,INV-001133947,TOTAL,"139.596,67","139.596,67","22.889,00","0,00",4-4001 - Diskon Penjualan
30 Apr 2026,GJ-1400100,INV-001133947,TOTAL,"139.596,67","139.596,67","12.337,00","0,00",8-8035 - Biaya Layanan
30 Apr 2026,GJ-1400100,INV-001133947,TOTAL,"139.596,67","139.596,67","1.250,00","0,00",6-6598 - Biaya Proses Pesanan
30 Apr 2026,GJ-1399158,INV-001133194,TOTAL,"289.964,51","289.964,51","99.969,51","0,00",5-5000 - Harga Pokok Penjualan (COGS)
30 Apr 2026,GJ-1399158,INV-001133194,TOTAL,"289.964,51","289.964,51","0,00","99.969,51",1-1200 - Persediaan Barang
30 Apr 2026,GJ-1399158,INV-001133194,TOTAL,"289.964,51","289.964,51","0,00","189.995,00",4-4000 - Penjualan
30 Apr 2026,GJ-1399158,INV-001133194,TOTAL,"289.964,51","289.964,51","189.395,00","0,00",1-1100 - Piutang Usaha
30 Apr 2026,GJ-1399158,INV-001133194,TOTAL,"289.964,51","289.964,51","600,00","0,00",4-4001 - Diskon Penjualan
30 Apr 2026,GJ-1398858,INV-001132964,TOTAL,"324.014,85","324.014,85","74.014,85","0,00",5-5000 - Harga Pokok Penjualan (COGS)
30 Apr 2026,GJ-1398858,INV-001132964,TOTAL,"324.014,85","324.014,85","0,00","74.014,85",1-1200 - Persediaan Barang
30 Apr 2026,GJ-1398858,INV-001132964,TOTAL,"324.014,85","324.014,85","0,00","250.000,00",4-4000 - Penjualan
30 Apr 2026,GJ-1398858,INV-001132964,TOTAL,"324.014,85","324.014,85","120.460,00","0,00",1-1100 - Piutang Usaha
30 Apr 2026,GJ-1398858,INV-001132964,TOTAL,"324.014,85","324.014,85","104.780,00","0,00",4-4001 - Diskon Penjualan
30 Apr 2026,GJ-1398858,INV-001132964,TOTAL,"324.014,85","324.014,85","327,00","0,00",4-4002 - Diskon Lainnya
30 Apr 2026,GJ-1398858,INV-001132964,TOTAL,"324.014,85","324.014,85","23.183,00","0,00",8-8035 - Biaya Layanan
30 Apr 2026,GJ-1398858,INV-001132964,TOTAL,"324.014,85","324.014,85","1.250,00","0,00",6-6598 - Biaya Proses Pesanan
30 Apr 2026,GJ-1399731,INV-001133583,TOTAL,"140.599,01","140.599,01","40.599,01","0,00",5-5000 - Harga Pokok Penjualan (COGS)
30 Apr 2026,GJ-1399731,INV-001133583,TOTAL,"140.599,01","140.599,01","0,00","40.599,01",1-1200 - Persediaan Barang
30 Apr 2026,GJ-1399731,INV-001133583,TOTAL,"140.599,01","140.599,01","0,00","100.000,00",4-4000 - Penjualan
30 Apr 2026,GJ-1399731,INV-001133583,TOTAL,"140.599,01","140.599,01","63.377,00","0,00",1-1100 - Piutang Usaha
30 Apr 2026,GJ-1399731,INV-001133583,TOTAL,"140.599,01","140.599,01","22.889,00","0,00",4-4001 - Diskon Penjualan
30 Apr 2026,GJ-1399731,INV-001133583,TOTAL,"140.599,01","140.599,01","173,00","0,00",4-4002 - Diskon Lainnya
30 Apr 2026,GJ-1399731,INV-001133583,TOTAL,"140.599,01","140.599,01","12.311,00","0,00",8-8035 - Biaya Layanan
30 Apr 2026,GJ-1399731,INV-001133583,TOTAL,"140.599,01","140.599,01","1.250,00","0,00",6-6598 - Biaya Proses Pesanan
30 Apr 2026,GJ-1398797,INV-001132903,TOTAL,"115.967,51","115.967,51","39.969,51","0,00",5-5000 - Harga Pokok Penjualan (COGS)
30 Apr 2026,GJ-1398797,INV-001132903,TOTAL,"115.967,51","115.967,51","0,00","39.969,51",1-1200 - Persediaan Barang
30 Apr 2026,GJ-1398797,INV-001132903,TOTAL,"115.967,51","115.967,51","0,00","75.998,00",4-4000 - Penjualan
30 Apr 2026,GJ-1398797,INV-001132903,TOTAL,"115.967,51","115.967,51","75.398,00","0,00",1-1100 - Piutang Usaha
30 Apr 2026,GJ-1398797,INV-001132903,TOTAL,"115.967,51","115.967,51","600,00","0,00",4-4001 - Diskon Penjualan
30 Apr 2026,GJ-1399872,INV-001133724,TOTAL,"167.797,45","167.797,45","41.797,45","0,00",5-5000 - Harga Pokok Penjualan (COGS)
30 Apr 2026,GJ-1399872,INV-001133724,TOTAL,"167.797,45","167.797,45","0,00","41.797,45",1-1200 - Persediaan Barang
30 Apr 2026,GJ-1399872,INV-001133724,TOTAL,"167.797,45","167.797,45","0,00","126.000,00",4-4000 - Penjualan
30 Apr 2026,GJ-1399872,INV-001133724,TOTAL,"167.797,45","167.797,45","62.168,00","0,00",1-1100 - Piutang Usaha
30 Apr 2026,GJ-1399872,INV-001133724,TOTAL,"167.797,45","167.797,45","50.002,00","0,00",4-4001 - Diskon Penjualan
30 Apr 2026,GJ-1399872,INV-001133724,TOTAL,"167.797,45","167.797,45","500,00","0,00",4-4002 - Diskon Lainnya
30 Apr 2026,GJ-1399872,INV-001133724,TOTAL,"167.797,45","167.797,45","12.080,00","0,00",8-8035 - Biaya Layanan
30 Apr 2026,GJ-1399872,INV-001133724,TOTAL,"167.797,45","167.797,45","1.250,00","0,00",6-6598 - Biaya Proses Pesanan
30 Apr 2026,GJ-1399165,INV-001133201,TOTAL,"114.576,23","114.576,23","41.749,23","0,00",5-5000 - Harga Pokok Penjualan (COGS)
30 Apr 2026,GJ-1399165,INV-001133201,TOTAL,"114.576,23","114.576,23","0,00","41.749,23",1-1200 - Persediaan Barang
30 Apr 2026,GJ-1399165,INV-001133201,TOTAL,"114.576,23","114.576,23","0,00","72.827,00",4-4000 - Penjualan
30 Apr 2026,GJ-1399165,INV-001133201,TOTAL,"114.576,23","114.576,23","58.892,00","0,00",1-1100 - Piutang Usaha
